Date,news_title,close_price
2021-11-20 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",73669000.0
2021-11-20 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",73669000.0
2021-11-20 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",73669000.0
2021-11-20 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",73669000.0
2021-11-20 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),73669000.0
2021-11-20 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",73669000.0
2021-11-20 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",73669000.0
2021-11-20 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",73669000.0
2021-11-20 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,73669000.0
2021-11-21 09:00:00,하락한 비트코인,73047000.0
2021-11-21 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",73047000.0
2021-11-21 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",73047000.0
2021-11-21 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",73047000.0
2021-11-21 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",73047000.0
2021-11-21 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),73047000.0
2021-11-21 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",73047000.0
2021-11-21 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",73047000.0
2021-11-21 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",73047000.0
2021-11-21 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,73047000.0
2021-11-22 09:00:00,하락한 비트코인,70589000.0
2021-11-22 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",70589000.0
2021-11-22 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",70589000.0
2021-11-22 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",70589000.0
2021-11-22 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",70589000.0
2021-11-22 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),70589000.0
2021-11-22 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",70589000.0
2021-11-22 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",70589000.0
2021-11-22 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",70589000.0
2021-11-22 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,70589000.0
2021-11-23 09:00:00,하락한 비트코인,71802000.0
2021-11-23 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",71802000.0
2021-11-23 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",71802000.0
2021-11-23 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",71802000.0
2021-11-23 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",71802000.0
2021-11-23 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),71802000.0
2021-11-23 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",71802000.0
2021-11-23 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",71802000.0
2021-11-23 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",71802000.0
2021-11-23 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,71802000.0
2021-11-24 09:00:00,하락한 비트코인,71680000.0
2021-11-24 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",71680000.0
2021-11-24 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",71680000.0
2021-11-24 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",71680000.0
2021-11-24 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",71680000.0
2021-11-24 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),71680000.0
2021-11-24 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",71680000.0
2021-11-24 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",71680000.0
2021-11-24 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",71680000.0
2021-11-24 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,71680000.0
2021-11-25 09:00:00,하락한 비트코인,73171000.0
2021-11-25 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",73171000.0
2021-11-25 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",73171000.0
2021-11-25 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",73171000.0
2021-11-25 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",73171000.0
2021-11-25 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),73171000.0
2021-11-25 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",73171000.0
2021-11-25 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",73171000.0
2021-11-25 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",73171000.0
2021-11-25 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,73171000.0
2021-11-26 09:00:00,하락한 비트코인,68549000.0
2021-11-26 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",68549000.0
2021-11-26 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",68549000.0
2021-11-26 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",68549000.0
2021-11-26 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",68549000.0
2021-11-26 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),68549000.0
2021-11-26 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",68549000.0
2021-11-26 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",68549000.0
2021-11-26 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",68549000.0
2021-11-26 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,68549000.0
2021-11-27 09:00:00,하락한 비트코인,70039000.0
2021-11-27 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",70039000.0
2021-11-27 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",70039000.0
2021-11-27 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",70039000.0
2021-11-27 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",70039000.0
2021-11-27 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),70039000.0
2021-11-27 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",70039000.0
2021-11-27 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",70039000.0
2021-11-27 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",70039000.0
2021-11-27 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,70039000.0
2021-11-28 09:00:00,하락한 비트코인,72303000.0
2021-11-28 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",72303000.0
2021-11-28 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",72303000.0
2021-11-28 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",72303000.0
2021-11-28 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",72303000.0
2021-11-28 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),72303000.0
2021-11-28 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",72303000.0
2021-11-28 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",72303000.0
2021-11-28 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",72303000.0
2021-11-28 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,72303000.0
2021-11-29 09:00:00,하락한 비트코인,72240000.0
2021-11-29 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",72240000.0
2021-11-29 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",72240000.0
2021-11-29 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",72240000.0
2021-11-29 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",72240000.0
2021-11-29 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),72240000.0
2021-11-29 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",72240000.0
2021-11-29 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",72240000.0
2021-11-29 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",72240000.0
2021-11-29 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,72240000.0
2021-11-30 09:00:00,하락한 비트코인,70702000.0
2021-11-30 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",70702000.0
2021-11-30 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",70702000.0
2021-11-30 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",70702000.0
